id,config.atom_sigma,config.soap_cutoff,config.noise,result.av_train_rmse,result.av_test_rmse,metadata.timing.start,metadata.timing.end,metadata.search-mode
230705-042107-9050-ugly-mind,0.35,9.5,0.0016756087126662,0.0012070992507532,0.0957906372606169,1688527267.908361,1688537880.630081,random
230705-042851-1576-free-bell,0.35,9.5,0.0142063643683989,0.0056198024348165,0.0854666229363289,1688527731.158346,1688537668.232719,random
230705-041633-5300-sick-stay,0.35,9.5,0.0002200959823451,0.0004887846717432,0.1332463891019204,1688526993.550859,1688536755.956972,random
230705-030850-4518-hard-kind,0.35,9.5,0.2796968577856191,0.0250969662763852,0.0781793809177203,1688522930.471591,1688536465.927373,random
230705-030602-3658-near-card,0.35,9.5,0.0119277837422771,0.0049552685160337,0.0863604589366274,1688522762.36684,1688533699.662485,random
230705-073252-9465-sore-cash,0.35,9.5,0.0045413095400138,0.0023828601963042,0.0913077652388645,1688538772.947434,1688547084.588893,random
230705-062732-6046-lean-city,0.35,9.5,0.0080792639528901,0.0036991606023929,0.088351717707154,1688534852.680415,1688546401.351736,random
230705-034902-4726-tart-unit,0.35,9.5,0.4325955832968224,0.0296057342401794,0.0779824396899607,1688525342.485282,1688538963.430525,random
230705-095716-7377-even-drag,0.35,9.5,0.3118049386480769,0.0261642101362116,0.0780653738553434,1688547436.742106,1688557760.514708,random
230705-084905-4030-loud-cost,0.35,9.5,0.0002832821725606,0.0005400778057851,0.1228644360996892,1688543345.420552,1688554835.187836,random
230705-071223-9875-glum-city,0.35,9.5,0.0006718310557874,0.0007591524369141,0.1028361879476072,1688537543.997699,1688553397.187143,random
230705-071226-1043-calm-hold,0.35,9.5,0.6491795141345749,0.0343545627965085,0.0785348737893182,1688537546.10988,1688553342.476441,random
230705-074403-6842-fond-fear,0.35,9.5,0.0073449190828139,0.0034387956399414,0.0888419809826361,1688539443.684959,1688553357.396747,random
230705-072803-5344-bony-spot,0.35,9.5,0.0020789121831551,0.0013787903630746,0.0948691207626756,1688538483.535718,1688552185.118907,random
230705-023022-4077-pale-sink,0.35,9.5,0.0010347207014782,0.0009268689316414,0.098492256952633,1688520622.437084,1688551564.154767,random
230705-083514-5827-left-male,0.35,9.5,0.0024816890718678,0.0015479035738966,0.0941230741608976,1688542514.583835,1688550907.11298,random
230705-070135-6873-tall-play,0.35,9.5,0.0101218897327189,0.0043879645176421,0.0871983270709358,1688536895.688065,1688550610.547216,random
