id,config.sigma,config.cutoff,config.noise,result.av_train_rmse,result.av_test_rmse,metadata.timing.start,metadata.timing.end,metadata.search-mode
230216-230202-5646-lean-calm,0.8606857446789172,2.9793547219195444,0.1684715487225643,0.0522046853194022,0.0576984114110746,1676588522.565497,1676602118.588264,random
230216-213756-4719-torn-math,1.9731757201311697,13.864341106988691,0.0015568295950227,0.0532747246725304,0.1697318539510565,1676583476.472763,1676601942.090158,random
230216-213742-0793-near-beat,1.9337732101694425,4.725734764122858,0.1357521286574856,0.08224516371963,0.0905283782006753,1676583462.080155,1676596695.261047,random
230216-200046-8081-wise-case,1.0764397969080617,8.03888796742638,0.00019321258476,0.0008167099541889,0.0852258412938522,1676577646.809599,1676591821.015347,random
230217-025809-5296-wild-stay,0.3932344185357126,6.781771413273576,0.0241715968562532,0.0017284669936409,0.037505022702383,1676602689.53561,1676616515.474217,random
230217-025810-5623-kind-long,1.6991913615805327,4.3969550301871125,0.1179739070120281,0.0577055748556746,0.0649310004953484,1676602690.563235,1676615887.202343,random
230216-225758-7659-bold-mark,0.5886413338810591,14.937254134317692,0.5089819207724691,0.0722681406697982,0.1057413085514403,1676588278.787675,1676613378.010952,random
230217-015402-0459-wavy-stay,0.4349571605354176,6.818625417840057,0.0211656104012808,0.0018245037245122,0.0393242021308487,1676598842.046753,1676613045.145954,random
230216-230011-3737-vast-hall,0.9594823593204486,7.348025667567962,0.3349751166672284,0.0497248078845425,0.061372039874671,1676588411.375885,1676608115.408225,random
230216-225800-6961-smug-bath,1.6384021693353887,7.846403880697052,0.0028266192183291,0.0289811591595055,0.0736960901054353,1676588280.707794,1676607840.821762,random
230217-000416-2914-late-wish,0.9083197854539756,3.786159422256631,0.0001019210206265,0.0095440272770101,0.1173982365281153,1676592256.305531,1676605902.362963,random
230217-043620-3478-vain-past,1.8558354826954016,13.529479221140086,0.0002496188454401,0.0222025706060938,0.2288914112473838,1676608580.354389,1676626440.213647,random
230218-155333-0066-gray-exam,1.5065537316390638,5.839767252626903,0.3871759543198493,0.0840310831004699,0.0894705449418714,1676735613.006992,1676739685.084498,random
230218-154733-4793-wary-soup,0.5567969733716465,4.844261970429516,0.8419957116280721,0.0337171838173498,0.040382093923416,1676735253.480125,1676739299.111551,random
230218-170343-0210-dual-idea,0.5345816261941658,14.163489939987064,0.0006506743275431,0.0004063414251516,0.1011748133600718,1676739823.026683,1676749150.762234,random
230218-165710-9553-ripe-high,0.3980452147674435,13.798712700740364,0.9688889453340706,0.0470186646028163,0.0717793803411198,1676739430.956099,1676748337.335021,random
230218-160103-4769-oval-hide,1.6676171998698757,13.746279553869623,0.2587148288733469,0.1310330112451186,0.1458333101252869,1676736063.477335,1676741767.049367,random
230218-154548-0008-tiny-baby,0.3125268840804315,14.5583688498421,0.2643353146072754,0.0200782117288319,0.0540063823514146,1676735148.001789,1676741230.753656,random
230218-154616-6334-fond-home,1.5549025533509908,7.751359145841227,0.0579296004940075,0.0612771655422652,0.0779939972499523,1676735176.634322,1676740799.730608,random
230218-161047-5061-wise-text,1.037722782455891,2.826059237210435,0.0003355212597094,0.0484711081946768,0.0913612774265486,1676736647.506512,1676740725.068884,random
230218-160303-2124-some-wear,1.8930864435053727,8.740518721670945,0.0002996186049837,0.0214982198151265,0.1171533582134234,1676736183.212861,1676740710.847454,random
230218-155932-6802-near-menu,1.230742646834221,2.334020527053568,0.0670932513343833,0.0943478496314873,0.0998966628744297,1676735972.680618,1676739875.005819,random
