id,config.sigma,config.cutoff,config.noise,result.av_train_rmse,result.av_test_rmse,metadata.timing.start,metadata.timing.end,metadata.search-mode
230209-010717-0721-zany-half,0.4160724004924915,6.356623323287691,0.0021125654421566,0.1510268966311654,0.2912048350351379,1675904837.074192,1675921161.003705,random
230209-055712-2468-grim-miss,0.9422685591332478,9.25256493547224,0.0010234029998882,0.0598692477445117,0.4759164342826915,1675922232.247914,1675927378.248239,random
230209-054148-9423-vast-tool,0.7146284049230415,2.1115793777684666,0.0010233222754433,0.2148016321217012,0.2139720936270283,1675921308.943225,1675926642.861162,random
230209-045719-1848-mild-life,1.6873648641763528,14.016049325791478,0.0418674521108699,0.1285843424887212,0.1869054350415271,1675918639.185686,1675925792.919188,random
230209-045718-9120-fake-ride,1.0077835551281418,7.499485946219583,0.1238683216425679,0.1376002141689132,0.1692083521512537,1675918638.915149,1675925753.234683,random
230209-055556-8192-high-food,1.5217242013870784,2.843925044436575,0.0766957114007525,0.2148016320733726,0.2139720766359726,1675922156.820265,1675925402.671704,random
230209-051418-1004-rare-term,0.149339694666947,9.329070570466294,0.2331270824123783,0.1726963888964779,0.1827372496205264,1675919658.101471,1675924628.828823,random
230209-065822-5262-back-land,1.2573648668439534,5.847871738039151,0.0001752644815858,0.1908783730499414,0.6671707531254111,1675925902.527193,1675933662.932901,random
230209-062325-4339-only-bell,1.5205929537471734,13.41098125812839,0.0029421004470178,0.080345011860365,0.363707432375221,1675923805.434817,1675929149.754923,random
230209-075418-6874-high-iron,1.282150442130651,5.901940964232171,0.0043351348516213,0.1921655348545405,0.2166893018939876,1675929258.688492,1675933284.009521,random
230209-055526-8674-spry-pull,0.1709752770421836,7.784694894992859,0.0296947384785833,0.1460366323664408,0.1681721681646633,1675922126.8693,1675933037.397411,random
230209-050154-4488-pure-year,0.1252370190397598,12.98820742474723,0.0339394214830784,0.1563614656688664,0.1800475011433712,1675918914.452882,1675929417.110651,random
230209-075917-8072-glum-gold,1.149590910990261,3.4265028495633514,0.0003845704213114,0.2148016318407298,0.213972271449891,1675929557.808329,1675932787.01627,random
230209-063906-6101-worn-debt,0.3743187150366962,8.45260269842341,0.773481970008695,0.1463360761173638,0.163398333165685,1675924746.611086,1675932547.815629,random
230209-072448-3296-pink-math,1.401005061959352,14.974167707445371,0.0177983055436085,0.09805256085267,0.2229087724896669,1675927488.330716,1675931623.687998,random
230209-030358-6945-pure-main,1.015848459473872,9.539386235731325,0.2810057126689803,0.133584335051147,0.1678981823019911,1675911838.702505,1675930065.742454,random
230209-065202-3523-same-shoe,1.3204832067160457,9.064299798733432,0.0257956968082429,0.1220020992566801,0.1786017508662361,1675925522.353179,1675930048.339684,random
230209-065750-8048-bare-lock,0.8482857494191481,6.367242454919939,0.0194813974171284,0.1577242700741306,0.1846581464424251,1675925870.80584,1675929936.04865,random
230209-071318-0199-posh-harm,1.2702919020520742,14.324008058923516,0.0025064062234608,0.0547191009303474,0.5744286424418257,1675926798.030042,1675934776.817499,random
230209-085130-1741-evil-year,1.6259473874700778,13.109618845385237,0.0062717068397176,0.1005122842128142,0.2236064304567189,1675932690.174936,1675937650.67835,random
