id,config.sigma,config.cutoff,config.noise,result.av_train_rmse,result.av_test_rmse,metadata.timing.start,metadata.timing.end,metadata.search-mode
230209-030432-7843-pink-snow,1.3549596389094862,7.874161962441499,0.0831098556795451,0.0592129738970833,0.0848850198804212,1675911872.804694,1675916090.602983,random
230209-010247-9161-mild-note,0.4801097726766145,6.239260386861031,0.0745197544128625,0.0423097519857008,0.0744586645424447,1675904567.917953,1675915094.642666,random
230209-030232-8839-long-desk,0.1937104625200446,10.542699204663116,0.0416275887306547,0.0392948941788975,0.0962130671784018,1675911752.884912,1675915132.664432,random
230209-023833-1161-each-hope,1.953242773604375,13.00312866967062,0.0081343371526079,0.0873430145130282,0.1574811284847819,1675910313.11698,1675914551.825818,random
230209-043216-8317-good-menu,1.1723551960793654,9.047278621436629,0.0009051703681668,0.0110197639847095,0.1561140984747058,1675917136.832672,1675920565.542681,random
230209-041833-7417-real-gift,0.8495214487204268,9.92703159222628,0.0739831449896533,0.0328145153645241,0.0825914332654854,1675916313.742804,1675919692.592778,random
230209-041633-3820-pink-suit,1.7367321673354896,13.521224250616376,0.0042404467580714,0.0579060556989797,0.1446823277658983,1675916193.383139,1675919670.683722,random
230209-024536-0506-deep-sort,1.393657634779187,3.7435988619488265,0.0019338884158079,0.0683744367755999,0.0771187597880458,1675910736.051642,1675918833.739237,random
230209-032417-6927-last-most,1.7548427044808044,7.078306966472274,0.0001006236225695,0.0206799220008413,0.1521386424212054,1675913057.693819,1675917260.914473,random
230209-033205-7598-oval-keep,1.968977421477578,13.358455537593784,0.0004962578244141,0.0410181898243392,0.2099779528640843,1675913525.760775,1675917252.865437,random
230209-053103-8254-weak-gate,1.9592666694388448,4.95202480666093,0.0012652951328414,0.0692474997221665,0.0961911477345657,1675920663.826322,1675923938.469246,random
230209-051633-8729-numb-vast,0.3546830056239178,5.589557125712434,0.0008202571354191,0.0419796849112267,0.3416142892091739,1675919793.873982,1675923115.568372,random
230209-035141-6500-idle-pair,1.3206688757969036,14.090695055859763,0.7530713521051005,0.1265902492709839,0.1400845946145365,1675914701.663697,1675923013.533105,random
230209-050309-0044-gray-blow,0.8220084261164721,8.310575507126401,0.0256634893875246,0.0234526421760944,0.0860308273272182,1675918989.0177,1675922710.127152,random
230209-040032-7564-spry-desk,0.6344122345378735,2.186751264784772,0.0018817594790737,0.2148016321278428,0.2139720627848692,1675915232.757294,1675922387.621744,random
230209-040032-6841-sick-dish,1.0837964081490905,2.9527709727038336,0.8665311640856411,0.1996079462207714,0.1985897399529325,1675915232.685011,1675922357.894318,random
230209-062717-9662-lean-wine,1.7748187359012093,6.618339167805629,0.0905291734248696,0.081865840561633,0.0974538829540926,1675924037.967173,1675928183.736173,random
230209-051623-3330-long-ball,0.5714736761532329,5.946357162438621,0.0139557963725025,0.0439194270095176,0.1015064503117197,1675919783.350847,1675927388.52168,random
